id,crid,is_officer_complaint,disciplined,gender,race,rank,current_salary,allegation_count,discipline_count,honorable_mention_count,major_award_count,civilian_compliment_count
2062,285389,true,true,F,Black,Police Officer,90024,6,3,11,0,2
2083,1063488,true,true,M,White,Police Officer,93354,17,1,58,0,3
2085,276049,true,true,M,Black,Police Officer,70704,31,3,4,0,4
2087,1014936,true,true,M,Black,Police Officer,86130,17,3,22,0,3
2093,1002496,true,true,M,Black,Police Officer,87006,6,1,33,1,9
2101,1066466,true,true,M,Black,Police Officer,93354,19,3,4,0,9
2113,285162,true,true,M,White,Sergeant of Police,104628,31,2,56,0,1
2114,1016296,true,true,M,Black,Police Officer,90024,16,1,4,0,5
2117,311223,true,true,M,Black,Police Officer as Detective,103932,77,3,56,0,6
2128,307088,true,true,M,Black,Police Officer,83706,4,3,11,0,3
2136,1069462,true,true,M,Black,Police Officer,84054,4,1,14,0,1
2138,1044593,true,true,M,Black,Police Officer,87006,5,1,17,0,1
2147,1012987,true,true,M,Black,Police Officer,93354,27,6,25,0,0
2150,298741,true,true,M,Black,Police Officer,70278,10,3,1,0,0
2161,301826,true,true,M,White,Police Officer,90024,15,1,46,0,8
2191,1046613,true,true,M,White,Police Officer / Field Training Officer,94524,22,1,22,0,6
2201,1028193,true,true,M,Asian/Pacific,Police Officer,87006,16,2,79,0,6
2208,312654,true,true,M,Black,Police Officer,71682,14,2,3,0,3
2214,1061460,true,true,M,Black,Police Officer,93354,21,5,10,0,5
2216,1047842,true,true,M,White,Sergeant of Police,111474,22,2,13,0,5
2219,1063407,true,true,M,White,Police Officer / Field Training Officer,87006,6,1,21,0,1
2247,1029303,true,true,M,White,Police Officer as Detective,97440,28,2,22,0,2
2255,1028538,true,true,M,White,Sergeant of Police,94122,13,2,83,0,4
2290,1074128,true,true,M,White,Police Officer,90024,18,1,8,0,3
2311,315277,true,true,M,Black,Police Officer / Field Training Officer,76764,56,4,4,0,4
2323,276049,true,true,M,Black,Police Officer,86130,33,1,3,0,6
2325,1047303,true,true,M,White,Police Officer,86130,11,2,2,0,2
2330,285775,true,true,F,Black,Police Officer,78012,7,3,3,0,1
2337,1061384,true,true,F,Black,Police Officer,93354,5,1,8,0,1
2346,1069649,true,true,M,White,Police Officer as Detective,94122,24,3,46,0,4
2347,292440,true,true,M,Black,Police Officer,80724,4,3,7,0,1
2350,1034248,true,true,M,White,Sergeant of Police,106920,13,1,15,0,3
2353,260262,true,true,M,Black,Sergeant of Police,,45,7,4,0,4
2356,1028193,true,true,M,White,Police Officer,86130,85,3,35,3,5
2357,302728,true,true,M,Black,Police Officer,72870,19,2,3,0,0
2363,1072644,true,true,F,White,Police Officer,87006,13,3,72,0,6
2375,1028193,true,true,M,White,Sergeant of Police,101958,80,3,4,0,5
2385,303934,true,true,M,Black,Police Officer,73116,26,2,5,0,0
2386,1024753,true,true,M,Black,Police Officer,86130,26,12,2,0,2
2388,303274,true,true,M,Black,Sergeant of Police,111474,48,7,13,0,2
2394,1040688,true,true,M,Black,Sergeant of Police,99756,49,2,44,0,5
2397,1060140,true,true,M,Black,Police Officer,93354,19,1,16,0,4
2400,291790,true,true,M,White,Police Officer,93354,65,5,40,0,1
2403,1065857,true,true,M,White,Police Officer,93354,21,2,38,1,10
2409,1058653,true,true,M,White,Police Officer,96060,33,3,17,0,5
2424,290298,true,true,M,White,Police Officer,80724,39,1,9,0,1
2433,314401,true,true,M,Black,Police Officer,96060,30,4,79,0,4
2439,305521,true,true,M,White,Police Officer,93354,20,3,50,1,7
2453,260182,true,true,M,Black,Police Officer,90024,59,6,8,0,4
2456,1011420,true,true,M,White,Police Officer,87006,6,1,27,0,5
2474,276049,true,true,M,White,Sergeant of Police,109278,23,3,3,0,9
2485,285227,true,true,M,Black,Police Officer / Field Training Officer,87918,14,1,19,0,2
2492,1037928,true,true,M,White,Police Officer,75372,14,1,32,0,2
2532,1025436,true,true,M,Black,Sergeant of Police,104628,24,1,63,3,4
2536,1040840,true,true,F,White,Police Officer,80724,12,4,3,0,7
2553,298493,true,true,F,White,Sergeant of Police,102978,9,1,2,0,3
2556,271567,true,true,M,White,Police Officer,90024,3,1,9,0,10
2558,1082616,true,true,M,White,Police Officer,76266,1,1,14,0,0
2561,1030389,true,true,F,White,Police Officer,96060,16,2,14,0,1
2563,1075479,true,true,M,White,Sergeant of Police,104628,25,1,64,0,5
2576,264027,true,true,M,Black,Police Officer,,7,1,6,0,1
2579,1053402,true,true,M,White,Police Officer,87006,12,1,40,0,3
2583,1028390,true,true,F,Black,Police Officer,92316,6,2,3,0,2
2584,284424,true,true,M,Black,Police Officer,58572,15,2,0,0,0
2597,1041939,true,true,M,Black,Police Officer as Detective,99888,27,2,1,0,1
2600,261445,true,true,M,Black,Police Officer,76476,38,5,0,0,0
2601,1002676,true,true,M,White,Police Officer,43104,1,1,2,0,0
2609,276012,true,true,M,Black,Police Officer,90024,15,1,9,0,3
2610,1038048,true,true,F,Black,Police Officer,96060,63,12,6,0,2
2626,261983,true,true,M,White,Police Officer,57426,11,2,2,0,2
2649,1025475,true,true,F,White,Sergeant of Police,109278,18,1,6,0,10
2668,1005197,true,true,M,Hispanic,Police Officer,55728,1,1,5,0,0
2669,262813,true,true,M,White,Police Officer,,54,2,2,0,1
2677,1063556,true,true,M,White,Police Officer as Detective,103932,33,2,3,0,2
2703,290597,true,true,F,White,Police Officer,90024,3,1,4,0,1
2705,276975,true,true,M,Black,Police Officer,75816,24,3,5,0,4
2707,310072,true,true,M,Black,Police Officer,93354,17,1,15,0,2
2709,271685,true,true,F,Black,Police Officer,90024,9,1,8,0,4
2722,1021783,true,true,M,White,Police Officer,89718,19,2,14,0,6
2725,1068990,true,true,M,Hispanic,Police Officer,96060,84,2,45,1,8
2735,299640,true,true,M,Black,Police Agent,97080,10,1,0,1,1
2745,282743,true,true,M,White,Police Officer,90024,14,3,20,0,4
2748,1061890,true,true,M,White,Police Officer,83616,25,8,10,0,0
2786,267746,true,true,M,White,Police Officer,64926,7,1,4,0,4
2800,268914,true,true,M,Hispanic,Police Officer as Detective,,4,3,0,0,1
2813,1072182,true,true,F,Black,Police Officer,90024,2,1,15,0,2
2815,1082770,true,true,M,White,Police Officer,96060,13,2,13,1,1
2817,1069550,true,true,M,White,Police Officer,84054,7,1,65,0,2
2820,262240,true,true,M,Black,Police Officer,96060,22,2,7,0,2
2822,289987,true,true,M,Black,Police Officer,75816,18,7,0,0,0
2824,276732,true,true,M,Black,Police Officer,96060,22,4,14,0,3
2826,310282,true,true,F,Black,Police Officer,68262,5,1,9,1,3
2829,276145,true,true,M,White,Police Officer,90024,28,1,36,0,9
2849,1075047,true,true,M,Black,Sergeant of Police,93354,18,3,82,0,4
2850,1043018,true,true,F,Black,Police Officer,92430,29,6,7,0,1
2876,298874,true,true,F,White,Sergeant of Police,93354,4,1,13,0,1
2888,275590,true,true,M,White,Explosives Tech I,82422,2,1,0,0,1
2889,1082395,true,true,M,White,Police Officer,93354,24,1,24,0,4
2892,265565,true,true,M,Black,Police Officer,69264,11,1,0,1,0
2904,307841,true,true,M,Black,Police Officer,87006,5,2,5,0,1
2910,305255,true,true,M,Black,Police Officer,88260,25,4,3,0,2
2921,1029629,true,true,M,White,Police Officer,90024,16,1,71,0,3
2931,1013583,true,true,M,Black,Sergeant of Police,102978,23,3,10,1,2
