id,crid,is_officer_complaint,disciplined,gender,race,rank,current_salary,allegation_count,discipline_count,honorable_mention_count,major_award_count,civilian_compliment_count
10636,C203029,false,true,F,Black,Police Officer (Per Arbitration Award),75258,18,7,4,0,4
10638,C201246,false,true,M,White,Police Officer,74976,4,1,2,0,0
10640,C132157,false,true,M,White,Police Officer as Detective,84402,22,1,0,0,1
10647,C182178,false,true,M,White,Police Officer as Detective,,6,1,0,0,1
10651,C182178,false,true,M,White,Police Officer,82878,16,2,5,0,3
10653,C247303,false,true,M,White,Police Officer,,7,1,5,0,0
10656,266432,false,true,M,White,Sergeant of Police,111474,21,2,6,1,13
10661,C237240,false,true,F,Black,Police Officer as Detective,90456,6,1,0,0,1
10663,C197909,false,true,M,Black,Police Officer,95106,36,1,82,1,1
10665,C133967,false,true,M,White,Police Officer,,1,1,0,0,0
10671,C144415,false,true,M,Black,Police Officer,,1,1,0,0,0
10682,C245885,false,true,M,Black,Police Officer,82878,4,1,0,0,0
10687,C183470,false,true,M,Black,Commander,154932,27,1,1,0,7
10688,286778,false,true,M,Black,Police Officer,93354,16,1,6,0,1
10689,C167341,false,true,M,Black,Detention Aide,,6,2,9,0,3
10693,1020556,false,true,M,Black,Police Officer,90024,14,3,29,0,1
10694,C201968,false,true,M,Black,Police Officer,83706,47,5,15,1,5
10696,C240527,false,true,M,Black,Lieutenant of Police,121464,25,2,5,0,3
10697,296032,false,true,M,Black,Sergeant of Police,90348,20,7,1,0,0
10698,1016380,false,true,F,Black,Police Officer,83706,36,15,0,0,8
10699,C207380,false,true,M,Black,Police Officer Assigned Evidence Technician,90540,9,1,12,0,1
10701,C182480,false,true,M,Black,Police Officer,,7,1,0,0,0
10704,C244791,false,true,F,Black,Police Officer Assigned Evidence Technician,,8,2,0,0,0
10705,C198451,false,true,F,Black,Police Officer,88830,3,1,1,0,4
10707,C185105,false,true,M,Black,Police Officer,69270,3,1,1,0,0
10708,C172647,false,true,M,Black,Police Officer,,3,1,4,0,4
10714,C180683,false,true,M,Black,Police Officer,,1,1,6,0,1
