src,dst,relationship
13424,20404,296158
17434,13424,296158
17434,20404,296158
20404,13424,296158
20404,17434,296158
426,30106,296379
30106,426,296379
5682,12708,296456
12708,5682,296456
17841,20662,296637
20662,17841,296637
8799,13522,296640
13522,8799,296640
4382,19994,297691
19994,4382,297691
24459,26879,297893
26879,24459,297893
11061,11194,298076
11061,27170,298076
11194,11061,298076
11194,27170,298076
27170,11061,298076
27170,11194,298076
3160,27114,298264
3160,32386,298264
27114,3160,298264
27114,32386,298264
32386,3160,298264
32386,27114,298264
10696,31831,299221
31831,10696,299221
15716,30119,299788
30119,15716,299788
5742,27163,300092
5742,27423,300092
27163,5742,300092
27163,27423,300092
27423,5742,300092
27423,27163,300092
426,26980,300930
26980,426,300930
4756,13362,301079
4756,23266,301079
13362,4756,301079
13362,23266,301079
23266,4756,301079
23266,13362,301079
14780,32188,301360
32188,14780,301360
12074,12524,301913
12074,24676,301913
12524,12074,301913
12524,24676,301913
24676,12074,301913
24676,12524,301913
15836,28734,302026
28734,15836,302026
249,20461,302661
20461,249,302661
25864,29254,302994
29254,25864,302994
23967,30539,303128
23967,31906,303128
30539,23967,303128
30539,31906,303128
31906,23967,303128
31906,30539,303128
4334,12147,303862
12147,4334,303862
2374,20183,304066
20183,2374,304066
12857,18592,304166
18592,12857,304166
25685,26508,304274
26508,25685,304274
5444,17611,305567
17611,5444,305567
3996,26978,305631
26978,3996,305631
4302,8745,305697
8745,4302,305697
3924,32181,306488
32181,3924,306488
9773,29123,306849
29123,9773,306849
11073,27838,306910
27838,11073,306910
23959,30760,307206
30760,23959,307206
28144,32274,307739
32274,28144,307739
6119,8691,307786
8691,6119,307786
270,13894,308055
13894,270,308055
1974,23807,308757
23807,1974,308757
10951,17539,308998
17539,10951,308998
11533,32175,310663
32175,11533,310663
4946,12259,310858
4946,14055,310858
12259,4946,310858
12259,14055,310858
14055,4946,310858
14055,12259,310858
8249,10266,310987
10266,8249,310987
3633,24032,311539
24032,3633,311539
7199,26068,312983
26068,7199,312983
18139,28340,313304
28340,18139,313304
10332,21632,314350
21632,10332,314350
12834,29008,314660
29008,12834,314660
7173,32003,314805
32003,7173,314805
18719,21883,315435
21883,18719,315435
6182,17142,315608
6182,31363,315608
17142,6182,315608
17142,31363,315608
31363,6182,315608
31363,17142,315608
4285,19865,C053661
19865,4285,C053661
2599,3265,C107181
