src,dst,relationship
4254,8220,1028193
4254,9648,1028193
4254,10905,1028193
4254,12947,1028193
4254,13093,1028193
4254,13272,1028193
4254,14007,1028193
4254,15836,1028193
4254,18998,1028193
4254,19798,1028193
4254,20616,1028193
4254,21364,1028193
4254,22258,1028193
4254,22554,1028193
4254,22648,1028193
4254,24039,1028193
4254,24063,1028193
4254,25230,1028193
4254,27668,1028193
4254,28178,1028193
4254,28384,1028193
4254,29252,1028193
4254,31536,1028193
4254,32014,1028193
4254,32042,1028193
4254,32072,1028193
4254,32111,1028193
4254,32356,1028193
4254,32390,1028193
4565,560,1028193
4565,1739,1028193
4565,2201,1028193
4565,2356,1028193
4565,2375,1028193
4565,3526,1028193
4565,4226,1028193
4565,4254,1028193
4565,6131,1028193
4565,6704,1028193
4565,6852,1028193
4565,7032,1028193
4565,8220,1028193
4565,9648,1028193
4565,10905,1028193
4565,12947,1028193
4565,13093,1028193
4565,13272,1028193
4565,14007,1028193
4565,15836,1028193
4565,18998,1028193
4565,19798,1028193
4565,20616,1028193
4565,21364,1028193
4565,22258,1028193
4565,22554,1028193
4565,22648,1028193
4565,24039,1028193
4565,24063,1028193
4565,25230,1028193
4565,27668,1028193
4565,28178,1028193
4565,28384,1028193
4565,29252,1028193
4565,31536,1028193
4565,32014,1028193
4565,32042,1028193
4565,32072,1028193
4565,32111,1028193
4565,32356,1028193
4565,32390,1028193
6131,560,1028193
6131,1739,1028193
6131,2201,1028193
6131,2356,1028193
6131,2375,1028193
6131,3526,1028193
6131,4226,1028193
6131,4254,1028193
6131,4565,1028193
6131,6704,1028193
6131,6852,1028193
6131,7032,1028193
6131,8220,1028193
6131,9648,1028193
6131,10905,1028193
6131,12947,1028193
6131,13093,1028193
6131,13272,1028193
6131,14007,1028193
6131,15836,1028193
6131,18998,1028193
6131,19798,1028193
6131,20616,1028193
6131,21364,1028193
6131,22258,1028193
6131,22554,1028193
6131,22648,1028193
6131,24039,1028193
6131,24063,1028193
6131,25230,1028193
6131,27668,1028193
6131,28178,1028193
6131,28384,1028193
6131,29252,1028193
6131,31536,1028193
6131,32014,1028193
6131,32042,1028193
6131,32072,1028193
6131,32111,1028193
6131,32356,1028193
6131,32390,1028193
6704,560,1028193
6704,1739,1028193
6704,2201,1028193
6704,2356,1028193
6704,2375,1028193
6704,3526,1028193
6704,4226,1028193
6704,4254,1028193
6704,4565,1028193
6704,6131,1028193
6704,6852,1028193
6704,7032,1028193
6704,8220,1028193
6704,9648,1028193
6704,10905,1028193
6704,12947,1028193
6704,13093,1028193
6704,13272,1028193
6704,14007,1028193
6704,15836,1028193
6704,18998,1028193
6704,19798,1028193
6704,20616,1028193
6704,21364,1028193
6704,22258,1028193
6704,22554,1028193
6704,22648,1028193
6704,24039,1028193
6704,24063,1028193
6704,25230,1028193
6704,27668,1028193
6704,28178,1028193
6704,28384,1028193
6704,29252,1028193
6704,31536,1028193
6704,32014,1028193
6704,32042,1028193
6704,32072,1028193
6704,32111,1028193
6704,32356,1028193
6704,32390,1028193
6852,560,1028193
6852,1739,1028193
6852,2201,1028193
6852,2356,1028193
6852,2375,1028193
6852,3526,1028193
6852,4226,1028193
6852,4254,1028193
6852,4565,1028193
6852,6131,1028193
6852,6704,1028193
6852,7032,1028193
6852,8220,1028193
6852,9648,1028193
6852,10905,1028193
6852,12947,1028193
6852,13093,1028193
6852,13272,1028193
6852,14007,1028193
6852,15836,1028193
6852,18998,1028193
6852,19798,1028193
6852,20616,1028193
6852,21364,1028193
6852,22258,1028193
6852,22554,1028193
6852,22648,1028193
6852,24039,1028193
6852,24063,1028193
6852,25230,1028193
6852,27668,1028193
6852,28178,1028193
6852,28384,1028193
6852,29252,1028193
6852,31536,1028193
6852,32014,1028193
6852,32042,1028193
6852,32072,1028193
6852,32111,1028193
6852,32356,1028193
6852,32390,1028193
7032,560,1028193
7032,1739,1028193
7032,2201,1028193
7032,2356,1028193
7032,2375,1028193
7032,3526,1028193
7032,4226,1028193
7032,4254,1028193
7032,4565,1028193
7032,6131,1028193
7032,6704,1028193
7032,6852,1028193
7032,8220,1028193
7032,9648,1028193
7032,10905,1028193
7032,12947,1028193
7032,13093,1028193
7032,13272,1028193
7032,14007,1028193
7032,15836,1028193
7032,18998,1028193
7032,19798,1028193
7032,20616,1028193
7032,21364,1028193
7032,22258,1028193
7032,22554,1028193
7032,22648,1028193
7032,24039,1028193
7032,24063,1028193
7032,25230,1028193
7032,27668,1028193
7032,28178,1028193
7032,28384,1028193
7032,29252,1028193
7032,31536,1028193
7032,32014,1028193
7032,32042,1028193
7032,32072,1028193
7032,32111,1028193
7032,32356,1028193
7032,32390,1028193
8220,560,1028193
8220,1739,1028193
8220,2201,1028193
8220,2356,1028193
8220,2375,1028193
8220,3526,1028193
8220,4226,1028193
8220,4254,1028193
8220,4565,1028193
